day,cola_300ml,cola_600ml,guazi,haipai_hainorim,haipiao_haibo,redbull,haixiangcuilan,luosifen_335g,qiaqia_oatmeal,spicy_chicken_noodle,TeLunSuMilk,wangzai_milk,xiangbage_honey_chicken_wings
2020/11/1,2.0,0.0,1.0,0.0,5.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0
2020/11/2,1.0,3.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,4.0,6.0,0.0
2020/11/3,1.0,0.0,1.0,1.0,0.0,4.0,5.0,0.0,1.0,1.0,0.0,2.0,0.0
2020/11/4,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,16.0,0.0
2020/11/5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0
2020/11/6,2.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0
2020/11/7,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,7.0,1.0
2020/11/8,1.0,0.0,0.0,1.0,1.0,4.0,0.0,2.0,0.0,0.0,4.0,0.0,1.0
2020/11/9,0.0,0.0,5.0,0.0,0.0,7.0,0.0,5.0,0.0,1.0,5.0,0.0,0.0
2020/11/10,0.0,3.0,0.0,0.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0
2020/11/11,0.0,0.0,3.0,0.0,0.0,2.0,7.0,1.0,0.0,2.0,0.0,0.0,0.0
